Plant ID,Country,Region,Plant Type,Reporting Quarter,Cementitious Production (tonnes),Gross CO2 Emissions (tonnes),Specific Net CO2 (kg per tonne cementitious),Thermal Substitution Rate (%),Renewable Electricity (%),Water Withdrawal (m3 per tonne),Transition Plan Published
HLC-022,Indonesia,"Asia, Middle East and Africa",Integrated Plant,Q3 2025,144808,82456,569.4,23.7,49.2,0.428,Yes
HLC-022,Indonesia,"Asia, Middle East and Africa",Integrated Plant,Q4 2025,150506,85212,566.2,26.6,50.1,0.4,Yes
HLC-023,Sri Lanka,"Asia, Middle East and Africa",Grinding Station,Q1 2025,90664,3890,42.9,N/A,22.1,0.042,No
HLC-023,Sri Lanka,"Asia, Middle East and Africa",Grinding Station,Q2 2025,83155,3308,39.8,N/A,24.4,0.028,No
HLC-023,Sri Lanka,"Asia, Middle East and Africa",Grinding Station,Q3 2025,78046,3001,38.5,N/A,24.1,0.05,No
HLC-023,Sri Lanka,"Asia, Middle East and Africa",Grinding Station,Q4 2025,80560,2665,33.1,N/A,31.2,0.06,No
HLC-024,Lebanon,"Asia, Middle East and Africa",Integrated Plant,Q1 2025,163169,97415,597.0,24.2,30.8,0.447,Yes
HLC-024,Lebanon,"Asia, Middle East and Africa",Integrated Plant,Q2 2025,177851,106124,596.7,28.9,31.7,0.421,Yes
HLC-024,Lebanon,"Asia, Middle East and Africa",Integrated Plant,Q3 2025,150738,87722,582.0,30.1,37.1,0.448,Yes
HLC-024,Lebanon,"Asia, Middle East and Africa",Integrated Plant,Q4 2025,170606,100195,587.3,29.5,34.0,0.444,Yes
HLC-025,Jordan,"Asia, Middle East and Africa",Integrated Plant,Q1 2025,137954,80285,582.0,19.6,38.8,0.29,No
HLC-025,Jordan,"Asia, Middle East and Africa",Integrated Plant,Q2 2025,115827,67304,581.1,23.2,38.3,0.291,No
HLC-025,Jordan,"Asia, Middle East and Africa",Integrated Plant,Q3 2025,131997,75705,573.5,22.0,41.2,0.293,No
HLC-025,Jordan,"Asia, Middle East and Africa",Integrated Plant,Q4 2025,130276,74634,572.9,27.0,37.7,0.324,No
